title,description,start_time,end_time,url,group
Emotions on Canvas: An Art Therapy Workshop ,"About the WorkshopHow often do we come across situations where expressing yourself seems difficult if not entirely impossible? More often or not we get trapped in our own minds and find it difficult to understand our emotions, our triggers, our reactions etc. When expressing in words becomes difficult, using art as a means of self-expression comes handy. It offers a mode of self-discovery to foster happiness and emotional resilience.&amp;nbsp;“Emotions on Canvas” will provide you with a creative outlet to cope with the stress and anxiety of everyday life. It will tap into your subconscious mind to release the inner stress, process emotions better and find clarity and meaning in everyday life. Through fun and interactive art activities, you will explore self-expression and, in doing so, find new ways to gain personal insight and increase your happiness level. The best part about “Emotions of Canvas” is that it is specially curated for every individual irrespective of their expertise in art. We believe that every art is beautiful in its own way and tells a story so personal and so inspiring.&amp;nbsp;The Workshop Environment&amp;nbsp;This will be an interactive workshop with different art-based activities.You will work in a creative and encouraging environment to destress and rediscover yourself&amp;nbsp;&amp;nbsp;Participants from all professional backgrounds and age groups are welcomeNo previous experience requiredP.s. the workshop is most fun when you gran yourself a quiet corner and attend it with full concentrationMaterials Needed5 blank sheets of papera set of any kind of colours you likeAbout the FacilitatorMs Aradhna, a Therapeutic Art Life Coach, believes that her role is to help people explore and express themselves authentically through art. She believes that through this process, people may find relief from overwhelming emotions, crises or trauma. They may discover insights about themselves, increase their sense of well-being, enrich their daily lives through creative expression, or experience personal transformation. She uses the power of art to expand self-understanding, to offer insight not available through other means, and to extend people’s ability to communicate. She believes that finding personal meaning in one’s images is often part of the art therapy process and that for some people, it is one of the most potent therapeutic qualities of art expression. It is a powerful way of knowing yourself better and leading a happier life.About the Host&amp;nbsp;TlkOut is a peer-to-peer support platform available globally on the android and iOS platforms.&amp;nbsp;We connect those who are presently struggling and those who have struggled in past in a safe, judgment-free environment thus encouraging them to ‘TlkOut’ and feel accepted. We believe that people will be more inclined to share if allowed to connect with those who have walked their paths and hence help them feel supported and understood during stressful periods. Almost all of us go through stressful periods at different points in life. This ad-free platform allows you to learn from and be motivated by the journey of others. Additionally, we provide regular wellness tips and daily journal prompts to manage your mood better.P.s. we do not replace therapy and treatment. Please do not use this platform to seek help in moments of crisis.&amp;nbsp;Things to RememberDownload &amp;amp; register on the Zoom Web Meetings app&amp;nbsp;Join the event using the meeting link and password&amp;nbsp;Connect via the link 5 minutes before the event beginsUse earphones/headphones for a better experienceA strong internet connection helps avoid any interruptions or disturbances during the event&amp;nbsp;Please fill in the additional information asked to help us better customize the experience for youP.s. The link will be shared with you on February 13 morning via email and SMSDisclaimer: This workshop excludes any liability of clinical cases who may require more serious help.&amp;nbsp;",2021-02-27T10:30:00.000Z,2021-02-27T12:00:00.000Z,https://insider.in/emotions-on-canvas-an-art-therapy-workshop--feb13-2021/event,None
Eggless Cheesecake Workshop with Chef Pooja Dhingra,"Pooja Dhingra is the founder of the Le15 chain of patisseries and cafes, which she founded in 2010. She is a graduate of hospitality from Cesar Ritz Colleges, Switzerland and trained at Le Cordon Bleu, Paris, for a Patisserie Diploma.Featured on the Forbes &apos;30 under 30&apos; list both in India and Asia, Pooja has won acclaim from critics, the press and her customers not just for her extraordinary skills as a patissier but also for her incredible entrepreneurial journey. She is an INK Fellow, and hosts an extremely popular podcast called #NoSugarCoat. Pooja has published three books. The Big Book of Treats was her first and won second place at the Gourmand World Cookbook Award. Her other books are The Wholesome Kitchen and Can&apos;t Believe It&apos;s Eggless.&amp;nbsp;Join in a fun and interactive baking session hosted by Chef Pooja herself and learn about making rich and creamy cheesecakes!&amp;nbsp;In this class, Chef Pooja will demonstrate:Eggless Nutella CheesecakeEggless Basque Cheesecake",2021-02-27T10:30:00.000Z,2021-02-27T11:30:00.000Z,https://insider.in/eggless-cheesecake-workshop-with-chef-pooja-dhingra-feb27-2021/event,None
Learn Instagram Aesthetics,"200 million Instagram users visit at least one business profile dailyAgenda-In this MasterClass, you&apos;ll learn- How to make aesthetic Instagram stories- How to find your niche and create content for it on Instagram- Understand different types of colours, colour wheel and colour schemesDate &amp;amp; Time: 27th February | 4:30 - 6:30 PMSpeaker Profile: Shivam Bansal - Co-founder, ADish",2021-02-27T11:00:00.000Z,2021-02-27T13:00:00.000Z,https://insider.in/learn-instagram-aesthetics-feb27-2021/event,None
How To Write Your First Song by Raghav Meattle || Kommune,"This workshop is designed to introduce people to the art of songwriting. The workshop follows a very basic, easy-to-comprehend structure, suited for people who have either very limited knowledge about songwriting, or none at all. Raghav will teach you a few key concepts - structuring a song, writing lyrics to a beat, understanding lyric writing and adding chords to a melody. He will elucidate these concepts with examples from his own music, as well as popular music that people would have definitely heard.&amp;nbsp;Key Takeaways from the workshop:- A keen insight into the art of songwriting- An understanding of the process, right from the time a song is an idea to the time it becomes a finished product- The ability to start working on their first songWho should join?16-30 year olds who have an inclination towards music&amp;nbsp;&amp;nbsp;About the facilitator:Mumbai-based singer-songwriter, Raghav Meattle, has a penchant for simple melodies and heartfelt songwriting. As such, he is a storyteller, trying to unravel the world we live in through his music. Raghav&apos;s musical endeavors began post a successful stint at &apos;The Stage&apos;, where he ended up as a semi-finalist (Top 6). Following a crowdfunding campaign that resulted in his debut album, &apos;Songs From A Matchbox&apos;, he has been taking his brand of &apos;vocal first&apos; music around the country, with a string of performances at some of the most coveted platforms for live music, such as the Bacardi NH7 Weekender, Ranthambore Music Festival, Ctrl Alt Del and more. He also lent his voice to Abhay Deol for critically acclaimed director Meghna Ramaswamy&apos;s &apos;What Are The Odds?&apos;, which premiered at the prestigious Indian Film Festival of Los Angeles. Raghav&apos;s most recent single &apos;City Life&apos;, a commentary on life in big Indian cities, received great appreciation from leading music blogs, streaming platforms and publications - ending up as the official soundtrack for Rolling Stone India’s first ever digital cover. Over the course of the past couple of months, Raghav has fostered an online community of singer-songwriters, where budding artists can share their work with like-minded individuals. The ‘Cone-munity’, as it has come to be known, is a safe space for artists to showcase their work in front of an enthusiastic and receptive audience, whilst broadening their horizons and growing together.",2021-03-06T11:30:00.000Z,2021-03-06T13:30:00.000Z,https://insider.in/how-to-write-your-first-song-by-raghav-meattle-kommune-mar6-2021/event,music
Finding Your Voice - A poetry workshop by Megha Rao || Kommune,"Are you passionate about writing, but still haven’t found your voice?Don’t worry! Your unique and authentic narrative style is right there somewhere, waiting to be discovered.In this workshop, you’ll find out more about poetry, craft and writing in a sustainable manner.&amp;nbsp;You’ll also learn:• Basic exercises that will help you understand your voice.• Experimenting with form• Avoiding cliches and thinking out of the box• Finding your perspective: Influences in poetry• Which suits you: literal language vs figurative language• Finding your reading/performing voice.Who should join?Anyone who wants to find their voice in poetry and is 16+ in age.About the facilitator:Megha Rao is a confessional performance poet and a surrealist artist. Her work has been featured on platforms such as Penguin Random House India, Firstpost, The Open Road Review, New Asian Writing, The Alipore Post, Spoken Fest, Why Indian Men Rape and Thought Catalog. Megha is a postgraduate in English Literature from the University of Nottingham, UK, and is currently spending her time between Mumbai and Kerala.",2021-02-28T05:30:00.000Z,2021-02-28T07:30:00.000Z,https://insider.in/finding-your-voice-a-poetry-workshop-by-megha-rao-feb28-2021/event,None
Learn 7 Amazing Magic Tricks &amp; 2 Cool Moves - One Page Spotlight Workshop,"The lockdown has given us all a chance to master a skill-set and build a professional career interest in a field of your choice. Here&apos;s one of them - Magic!This series teaches you 7 Amazing Magic Tricks and 2 cool moves. Learn from the best Magician Tharun Iyer, a banker turned professional Magician and perform as a hobby or as a profession at events, gatherings, get-togethers&apos; and more.Process of Purchase:1. Once the payment is made, you will receive a call/message from One Page Spotlight and we will send you the link to join the community on&amp;nbsp;www.onepagespotlight.com&amp;nbsp;for the workshop broadcast2. You will be added to the community for the workshop will be available to you there3. Once you have signed-up, you can now go ahead and view the workshop episodes for a limited time period as per the confirmation time and date sent to you on email.General FAQ&apos;s:1. What do I do if I miss the workshop?A. The workshop is for 1 hour only. However, we have ensured that you have access to the workshop for 6 hours on the streaming date for your ease of reference.2. What happens after the time period?A. You are removed from the Community of Broadcast by the Admin after completion of the workshop.3. What if My link is not working?A. You can call us on +91 90084 90086 for a fast-track solution or email is on contact@onepagespotlght.com with the screenshot and your contact details.Terms &amp;amp; Conditions:1. Workshop broadcast is available post the purchase of ticket.2. You will be allowed entry to the workshop only on confirmation of receipt of the payment.3. If you are unavailable at the stipulated time of access, you will not be refunded. However, in special cases, you can write to us at contact@onepagespotlight.com and we shall evaluate the same.4. Taxes Extra (All payment gateway charges, Service Charge, Convenience Fees and GST to be paid by customer)5. One Page Spotlight does not promise a job, money or internship for attendees after the workshop and is not liable for any claims for any damage to the participant.About One Page Spotlight:One Page Spotlight is a virtual platform for creators to create, connect and collaborate with fellow creators and organisations. With existing platforms, creators struggle to find the right audience and market as well as connect with the right organisation and people. One Page Spotlight provides creators with an authentic ecosystem of collaborators, thereby empowering them to position themselves under the spotlight. Sign-up now on&amp;nbsp;https://www.onepagespotlight.com&amp;nbsp;",2021-02-22T10:27:00.000Z,2021-02-24T10:27:00.000Z,https://insider.in/learn-7-amazing-magic-tricks-2-cool-moves-one-page-spotlight-workshop-sep11-2020/event,money
Open Space | Online Improv Jam,"Every Wednesday, Kaivalya Plays hosts an open space to play improv games. These are not mental health exercises or performance workshops, just an open room for fun, simple games. Anyone can host a session (write to us at team@kaivalyaplays.org if you&apos;d like to), try out a new game or simply, just play games with us. These sessions are open to everybody, feel free to invite anyone who&apos;d enjoy this too.These sessions are free of cost, on a registration only basis. But we have also opened up a voluntary donation link for Open Space to keep expanding this initiative and making improv more accessible across the world.Any and all amounts are welcome at https://imjo.in/dmt5AEThe Zoom Link for the event will be sent to you on the day of the event. See you on Wednesday!",2021-02-24T14:00:00.000Z,2021-02-24T15:00:00.000Z,https://insider.in/open-space-online-improv-jam-jan6-2021/event,None
History of ETFs with Ashish Kumar Chauhan,"Watch Mr Ashish Kumar Chauhan, MD &amp; CEO of BSE, speak about the history of ETFs in India and share insights on how they have developed over time.India is one of the fastest-growing economies in the world. Have you wondered how your finances can benefit from this growth?&amp;nbsp;If you are betting big on India, ETFs or Exchange Traded Funds are the way to go for you. ETF is a low cost and efficient way for you to make sure that your money rides high on the India growth story! Isn&apos;t it time that you took control over your finances? You have worked hard for your money, now it is time for you to make sure that your money works harder and smarter for you. This Masterclass is one of its kind educational initiative to explain the importance of ETFs as an investment and trading product in the Indian context.Presented by: Paytm MoneyKnowledge Partner: ICICI Prudential Exchange Traded FundsProduced by: Singularies Events Private Limited",2021-01-19T08:51:31.000Z,2031-01-19T08:51:31.000Z,https://insider.in/history-of-etfs-with-ashish-kumar-chauhan/event,money
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-02-24T19:00:00+00:00,2021-02-24T20:30:00+00:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-02-24/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-03-03T19:00:00+00:00,2021-03-03T20:30:00+00:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-03-03/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-03-10T19:00:00+00:00,2021-03-10T20:30:00+00:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-03-10/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-03-17T19:00:00+00:00,2021-03-17T20:30:00+00:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-03-17/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-03-24T19:00:00+00:00,2021-03-24T20:30:00+00:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-03-24/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-03-31T19:00:00+01:00,2021-03-31T20:30:00+01:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-03-31/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-04-07T19:00:00+01:00,2021-04-07T20:30:00+01:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-04-07/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-04-14T19:00:00+01:00,2021-04-14T20:30:00+01:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-04-14/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-04-21T19:00:00+01:00,2021-04-21T20:30:00+01:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-04-21/,music
Be in Tune • Sidak Kaur,"&lt;p&gt;Be in Tune When we are perfectly tuned like a musical instrument, we feel connected, healthy and happy – able to cope with all challenges in life. However, pressure and daily challenges get us out of this perfect tune. If we are out of tune in any way, we feel stressed, lacking in energy or...&lt;/p&gt;\n",2021-04-28T19:00:00+01:00,2021-04-28T20:30:00+01:00,https://www.naadyogacouncil.com/en/event-single/be-in-tune-sidak-kaur/2021-04-28/,music
